pass,msqer
1, 0.00827977
2, 0.00699512
3, 0.00685461
4, 0.00682184
5, 0.00680717
6, 0.00679597
7, 0.00678542
8, 0.00677494
9, 0.00676441
10, 0.00675379
11, 0.00674309
12, 0.00673228
13, 0.00672136
14, 0.0067103
15, 0.00669911
16, 0.00668777
17, 0.00667627
18, 0.0066646
19, 0.00665275
20, 0.00664071
21, 0.00662847
22, 0.00661601
23, 0.00660332
24, 0.0065904
25, 0.00657722
26, 0.00656379
27, 0.00655008
28, 0.00653608
29, 0.00652179
30, 0.00650718
31, 0.00649225
32, 0.00647698
33, 0.00646137
34, 0.0064454
35, 0.00642904
36, 0.00641231
37, 0.00639517
38, 0.00637762
39, 0.00635964
40, 0.00634123
41, 0.00632238
42, 0.00630305
43, 0.00628326
44, 0.00626299
45, 0.00624222
46, 0.00622094
47, 0.00619915
48, 0.00617683
49, 0.00615398
50, 0.00613058
51, 0.00610664
52, 0.00608213
53, 0.00605706
54, 0.00603141
55, 0.00600518
56, 0.00597838
57, 0.00595098
58, 0.00592299
59, 0.00589441
60, 0.00586524
61, 0.00583547
62, 0.00580509
63, 0.00577413
64, 0.00574258
65, 0.00571043
66, 0.0056777
67, 0.00564439
68, 0.0056105
69, 0.00557604
70, 0.00554102
71, 0.00550545
72, 0.00546933
73, 0.00543268
74, 0.00539551
75, 0.00535783
76, 0.00531965
77, 0.00528098
78, 0.00524185
79, 0.00520226
80, 0.00516223
81, 0.00512179
82, 0.00508094
83, 0.00503971
84, 0.00499811
85, 0.00495616
86, 0.00491389
87, 0.0048713
88, 0.00482844
89, 0.00478532
90, 0.00474195
91, 0.00469837
92, 0.0046546
93, 0.00461066
94, 0.00456657
95, 0.00452236
96, 0.00447805
97, 0.00443368
98, 0.00438926
99, 0.00434482
100, 0.0043004
101, 0.004256
102, 0.00421166
103, 0.00416741
104, 0.00412327
105, 0.00407927
106, 0.00403544
107, 0.00399179
108, 0.00394837
109, 0.00390518
110, 0.00386227
111, 0.00381965
112, 0.00377735
113, 0.0037354
114, 0.00369382
115, 0.00365263
116, 0.00361186
117, 0.00357154
118, 0.00353169
119, 0.00349232
120, 0.00345347
121, 0.00341515
122, 0.00337738
123, 0.00334019
124, 0.0033036
125, 0.00326762
126, 0.00323228
127, 0.00319758
128, 0.00316356
129, 0.00313023
130, 0.00309759
131, 0.00306566
132, 0.00303447
133, 0.00300402
134, 0.00297432
135, 0.00294538
136, 0.0029172
137, 0.00288981
138, 0.00286321
139, 0.0028374
140, 0.00281238
141, 0.00278817
142, 0.00276476
143, 0.00274216
144, 0.00272035
145, 0.00269935
146, 0.00267916
147, 0.00265976
148, 0.00264116
149, 0.00262334
150, 0.00260631
151, 0.00259004
152, 0.00257455
153, 0.00255981
154, 0.00254582
155, 0.00253257
156, 0.00252005
157, 0.00250824
158, 0.00249712
159, 0.00248669
160, 0.00247693
161, 0.00246783
162, 0.00245936
163, 0.00245153
164, 0.0024443
165, 0.00243766
166, 0.00243161
167, 0.0024261
168, 0.00242115
169, 0.00241672
170, 0.0024128
171, 0.00240936
172, 0.0024064
173, 0.00240389
174, 0.00240183
175, 0.00240019
176, 0.00239895
177, 0.0023981
178, 0.00239762
179, 0.0023975
180, 0.00239772
181, 0.00239827
182, 0.00239911
183, 0.00240026
184, 0.00240168
185, 0.00240338
186, 0.00240532
187, 0.00240749
188, 0.00240988
189, 0.0024125
190, 0.00241531
191, 0.0024183
192, 0.00242146
193, 0.00242479
194, 0.00242827
195, 0.00243189
196, 0.00243563
197, 0.0024395
198, 0.00244347
199, 0.00244756
200, 0.00245172
201, 0.00245598
202, 0.0024603
203, 0.0024647
204, 0.00246915
205, 0.00247366
206, 0.00247821
207, 0.00248281
208, 0.00248743
209, 0.00249208
210, 0.00249675
211, 0.00250145
212, 0.00250615
213, 0.00251086
214, 0.00251556
215, 0.00252027
216, 0.00252497
